period,subba,subba-name,parent,parent-name,value,value-units
2024-12-28T15,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15187,megawatthours
2024-12-28T14,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14741,megawatthours
2024-12-28T13,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14353,megawatthours
2024-12-28T12,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14603,megawatthours
2024-12-28T11,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14970,megawatthours
2024-12-28T10,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14856,megawatthours
2024-12-28T09,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14916,megawatthours
2024-12-28T08,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15131,megawatthours
2024-12-28T07,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15330,megawatthours
2024-12-28T06,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15223,megawatthours
2024-12-28T05,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15845,megawatthours
2024-12-28T04,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15967,megawatthours
2024-12-28T03,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16484,megawatthours
2024-12-28T02,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17049,megawatthours
2024-12-28T01,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17441,megawatthours
2024-12-28T00,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17778,megawatthours
2024-12-27T23,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17768,megawatthours
2024-12-27T22,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17261,megawatthours
2024-12-27T21,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17255,megawatthours
2024-12-27T20,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17373,megawatthours
2024-12-27T19,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17395,megawatthours
2024-12-27T18,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17400,megawatthours
2024-12-27T17,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17433,megawatthours
2024-12-27T16,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17280,megawatthours
2024-12-27T15,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16947,megawatthours
2024-12-27T14,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16572,megawatthours
2024-12-27T13,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15878,megawatthours
2024-12-27T12,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15007,megawatthours
2024-12-27T11,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14267,megawatthours
